Fi	ne,Dig	ital & Perf	Arts												
															
O		MUSI3411	03	Applied Voice	1.00	Parker	-M-----	3:30- 4:45PM	CFA	130	30		10	0	ART1
															
O		MUSI3481	01	Applied Composition	1.00	Barnhart	-------	TBA			0		9	0	ART1
															
O		MUSI3621	01	Recording Studio 1	3.00	Barnhart	-M-W---	2:00- 3:15PM	CFA	217	20		10	0	ART3
															
O		MUSI4621	01	Recording Studio 2	3.00	Barnhart	-M-W---	2:00- 3:15PM	CFA	217	20		6	0	ART3
															
O		THAR1000	01	Introduction to Theater	3.00	Crothers	-M-W---	2:00- 3:15PM	CFA	130	30		30	0	ART1
															
O		THAR1000	02	Introduction to Theater	3.00	Baughman	-M-W-F-	11:00-11:50AM	CFA	129	100		30	0	ART1
															
O		THAR1000	03	Introduction to Theater	3.00	Baughman	-M-W-F-	10:00-10:50AM	CFA	319	100		30	0	ART1
															
O		THAR1000	04	Introduction to Theater	3.00	Parker	--T-R--	3:30- 4:45PM	CFA	203	24		24	0	ART1
															
O		THAR1000	05	Introduction to Theater	3.00	Baughman	-M-W-F-	9:00- 9:50AM	CFA	319	100		30	0	ART1
															
O		THAR1000	52	Introduction to Theater	3.00	Parker	--T----	5:00- 7:30PM	CFA	203	24		24	0	ART1
															
O		THAR1211	01	Acting 1	3.00	Huston	--T-R--	12:30- 1:45PM	CFA	129	100		20	0	ART1
															
O		THAR1411	51	Theater Practicum	1.00	Huston	-------	6:30- 8:30PM	CFA	129	100		20	0	
															
O		THAR2232	51	Movement Studies:Kendo	1.00	Inoshita	----R--	6:30- 7:20PM	CFA	319	100		20	0	
															
O		THAR3213	01	Acting 3	3.00	Huston	-M-W---	12:00- 1:15PM	CFA	129	100		20	0	ART1
															
O		THAR4999	01	Tps: Pulitzer Prize Drama	3.00	Huston	--T-R--	11:00-12:15PM	CFA	129	100		25	0	ART2
															
B	usines	s													
															
O		BUAC1010	01	Accounting Principles 1	4.00	Doster	-M-W---	2:00- 3:40PM	KRI	155	30		30	0	BUSI
															
O		BUAC1010	02	Accounting Principles 1	4.00	Doster	-M-W---	12:00- 1:40PM	KRI	155	30		30	0	BUSI
															
O		BUAC1010	51	Accounting Principles 1	4.00	Belford	---W---	6:30- 9:50PM	KRI	155	30		30	0	BUSI
															
O		BUAC1020	51	Accounting Principles 2	4.00	Belford	--T----	6:30- 9:00PM	KRI	255	30		30	0	BUSI
															
O		BUAC2010	01	Intro Financial Accounting Prin	3.00	Hurley	--T-R--	11:00-12:15PM	KRI	151	24		24	0	BUSI
															
O		BUAC2010	02	Intro Financial Accounting Prin	3.00	Hurley	--T-R--	3:30- 4:45PM	KRI	151	24		24	0	BUSI
															
O		BUAC2010	51	Intro Financial Accounting Prin	3.00	Hurley	-M-----	6:30- 9:00PM	KRI	151	24		24	0	BUSI
															
O		BUAC2030	01	Intro Managerial Accounting Prin	3.00	Hurley	--T-R--	9:30-10:45AM	KRI	151	24		24	0	BUSI
															
O		BUAC2030	51	Intro Managerial Accounting Prin	3.00	Hurley	----R--	6:30- 9:00PM	KRI	255	30		30	0	BUSI
															
